Row_Labels,Count_AnimalName
RENNY,1
DEEDEE,2
GLADIATOR,1
NESTLE,1
NYKE,1
BABY GIRL,3
EVVIE,1
AMADEUS,1
FINLEY,4
C.C.,1
ALLY MAY,1
ADELE,1
PRINCESS PEA,1
OSLO,1
ROMEO GRAY,1
APPA,1
BANDIDO,1
BESSIE,1
SUSIE Q II,1
NAMASTE,1
SQUIRT,2
NIKE,4
ELLIE BEAN,1
SHEBAH BEAR,1
JENNY LYNN,1
FENWAY,2
CLETUS,1
TOBY II,1
ANGUS,10
RYLEE,1
CHITU,1
BUXTON,1
YUM YUM,1
MCCOY,1
TANGO,2
KEYNA,1
JUDE,1
EL NINO,1
BUG,2
JOLI,1
ROWDEY,2
GABY,3
CHINO,4
MUSKA,1
SHYLO,1
BOOTS,2
LENNY,6
JUNIOR,1
DESDEMONA,1
ZAMBO,1
SIRIUS,2
IZABELL,1
D.O.G.,2
PJ,4
MARLEY,23
ANUBIS,2
ESKA,3
MACKENZIE,5
CROUTON,1
TREY,1
IZABEL,1
TOYA,1
GERTIE,3
ILA,1
QUIGLEY,1
MERRY,1
BRINDLE,1
DIMSUM,1
QUOY,1
GIZ,1
AYLA,4
SUKI,4
FELIX,3
LACEY,7
DENIM,1
NOIR,1
ALEXIS,1
KINLEY,9
SPECIAL,1
ACE,9
RUDOLPH,1
ERIS,2
TICANI,1
WAYLON,1
HAROLD,2
CET,1
KONA,25
BOBOI,1
TRAPPER,7
TOWELIE,1
CAESER,2
NANCY,1
JUSTY,1
BIG BEN,1
KALUB,1
SAPPHIRE,1
TEDI BEAR,1
MIMI,4
COLEY BEAR,1
CHIKA,1
KHALUA,1
CHILIE,1
PUNGO,1
KAFKA,1
SNOWEE,1
TRUDY,4
BEETHOVEN,1
KAINO,1
SPIDERMAN,1
PHEONIX,1
SATO,1
WILEY,3
SHAKIE,1
TOBLERONE,2
CUBBY BEAR,1
OTTO,4
BAYLEE,3
SONYA,1
KISMET,2
COWBOY,5
LUKA,3
LUCY BROWN,1
GRIFFEN,1
BJ,1
POOH,1
MOONSHINE,1
SUSUKI,1
MARCELL,1
HAKU,1
WEDGE,1
TULI,1
JJIN,1
CHING CHING,1
CUJO,3
CALYPSO,1
JIMMY BUCKET,1
KAVIK,1
LEXIE,4
BRUCE,8
WILSON,2
MOOGAN,1
MAZZOLINI,1
MIZUKI,1
TIKKI,1
STACEY,1
MAHLI,1
TUULI,3
PATIENCE,2
SHEEP,1
YOZHKA,1
MACHO,1
ODIN,10
SHANE,3
D'BO,1
NICKI,3
AMELIA,1
SPICE,4
SCARFACE,1
HAYDEN,1
COBALT,1
OLE,1
HOOPER,3
HANS,2
DEE DEE,2
GROMIT,2
KYLA,1
DORA,3
KENIA,1
SEVERAS,1
MEMPHIS,1
PATSY,2
BUNTA,1
NAPOLEON,2
GANDALF,1
FISHER,2
BLIZZ,1
WOOTER,1
GRIFFON,1
HUDY,1
TIDBIT,1
MS LILIE,1
EM'REI JOY,1
KINGSTON,2
SAGE,4
BARNABAS,1
MARTIN,1
KAYMA,1
ASPEN,7
MABEL,3
HOBBS,3
FIFI,3
NINO,1
CIVIC,1
CECE,3
TETSUO,1
PEDEY,1
ZELDA,4
SASHA BEAR,1
ZURI,1
DOUGLAS,4
SNO,1
HUBERT,1
SOLO,4
KYLO,1
COLT,4
MASON,7
TROUT,2
BARLEY,5
BAILEY,58
AKITO,1
JOANIE,3
KODOS,1
BENJI,6
SULLEY,1
CJ,1
ROXY,50
BILL,1
MR.SMALL,1
BRIDGER,1
RUGER,22
BUBU,1
DIVER,2
ANNABELLA,1
GIDGET ROSE,1
ITTYBIT,1
JUNO REGINA,1
SYDNEY MARIE,1
TUBS,1
BINGLEY,1
LADY BUG,2
KELTY,1
BOMBER,2
OOSE,1
OLA,1
ELIJAH,1
SERA,1
BIESEN,1
LUNA,49
NOOKAH,1
COOTER,1
SWAMPER,1
RED,7
OLIVE OYL,1
RUPERT,4
ASOKA,1
VIGO,1
FREEDOM,2
DINGO,2
PATCH,4
CAIN,1
CURRIE,1
TAZ,15
SHAGGY,1
INGRID,1
SMOKEY,12
SHASTA,2
POKITZ,1
ICY,2
CAPTAIN,6
KEVA,1
SISSY,1
FOZZI,1
ATTA-GIRL,1
HADLEY,1
KILEY,1
BERTIE,1
AUSTRINGER,1
KIEFER,2
HOMER,9
TROUBLE TOO,1
BURLY,1
UN0,1
QUAGMIRE,1
ROXXY,1
TOGO,1
BAHITI,1
GIBSON,1
TUG,3
SEBASTYN,1
BRODY,11
FOXY,5
CIARA,1
MERLE,2
JODIE,2
RICOO,1
HAILEE,1
CORBIE,1
ROO,7
JAYTEE,1
JAX,16
ELBE,1
BOWMORE,1
ROLO,6
LUPIN,1
SASSENAUCH,1
PUCK,2
BRODY DUNCAN,1
ZUKA,1
BROM,1
MOOCHIE,1
BRIAN,2
ADELYN,1
FYRNE,1
BECKER,1
SHERON,1
PUGSY,1
HONEY BUNS,1
CHICO,7
KASCH,1
GURTIE,1
ASHA,3
SUMMITT,1
CHOO,1
MINKA,3
FLUFFY BLAZE,1
VENTA GUMS,1
GIDDEON,1
GELIEBTE,1
JILLY,1
LAONA,1
CHEEBA,1
TIKI,1
RAZEE,1
MERIWEATHER,1
LEROY BROWN,1
CHOMP JR,1
DOKY,1
ZEPHYR,4
POSEY,1
SARGENT,1
CHILI,3
COOKIE,9
DUNCAN JR,1
LADY MARIE,1
CHUNK,1
DAISY,66
MICAH,1
MAXIE,1
JENNI,1
MOJITO,1
DAZ,1
TIGER,2
METALLICA,1
LUCY #2,1
LEXY,1
SNOOP,2
RAEDO,1
SERENA,1
LUCY LU,2
MOSES,2
KAMIE,1
OBERON,1
KATE,3
CECI,1
YUKI,7
SATCHY,1
BUCK,6
WEATHERBY,1
CALLI,1
CHEEKONI,1
PHOEBE,11
DUKE,45
CLEASTWOOD,1
DOOGAN,1
KUUAKI,1
JUELZ,1
LOYD,1
LAPKA,1
JESUS,1
GYPSY GRACE,1
TIKVA,1
ALTA,1
BUNKIE,1
KEITA,1
BLANCA,3
ROTOR,1
IVY LULU,1
BERNADETTE,2
MONSTER,1
CHEY,1
NATASHA,1
SAFFRON,1
YOGI BEAR,1
MJ,3
BEAUFORD,1
RACHELL,1
DUFFY,3
PALAGI,1
KOOPER,2
HAZEL,13
CURLY-GIRL,1
TOKI,1
KRUNK,1
TIPPIE,1
DANDY MCRUFF,1
STARBUCK,1
LANCER,1
RUBEN,1
LILLIANNA,1
LARRY,2
BOBO,2
CORDELIA,2
JOVIE,1
ATTIE,1
KAILUA,1
JACOB,1
MICKEY,16
HOBO,1
CHIQUITO,1
JAMESBOND,1
BUTCH,3
RAIDEN,1
LOGAN,6
ONA,1
PEPPERMINT,1
S,1
BRANDY 2,1
PACHA,1
BANE,1
DRACO,3
PONO,1
TROOPER,7
LEO,15
MCKENZIE,4
OZZIE,4
TACKER,1
SODA,1
KLIM,1
ELKE,1
SPYDER,1
EKLUTNA,1
MAIZY,3
PINKY,1
SADIE,77
FRIDAY,1
KIKI,6
CARDI,1
TURKIE,1
MISSER,1
MACLAREN,1
TAMARI,1
IZEE,1
KIMCHI,1
BARRACUDA,1
CHATANIKA,1
RIOCOCHET,1
KATIANNA,1
CEECEE,1
JAK,1
PEANUT,16
ZANDER,2
TASSIE,1
MINA,1
ODIE,8
YETI,1
COWGIRL,1
TURBO,3
MONACO,1
SAMBA,1
COTTON,2
HAMISH,2
SUFJAN,1
CHOCCO,1
PADDINGTON,1
HUXLEY,1
DOSIA,1
KISHA,1
BRIANA,1
PINT,1
ROGUE,4
AMMO,2
JAGIYA,1
ZEENA,1
CHARLIEGH,1
BREWTUS,1
LIAM,3
HENDO,1
TRUFFLE,1
MOCHI,1
TRIGGER,9
TANNER,2
PLINY,1
SAMBO,1
SCARLETT,2
ILLA,1
ZOE,22
STORMIE,1
SNOOPI,1
DAVE,1
KEBA,1
BARTHOLOMEW,1
TRITON,2
TALI,2
MOLLEE,1
DOBY,1
DEEZLE,1
VINNIE,2
SNOWY,2
DEKE,1
WHEELER,1
TASER,1
SUBIE,1
HENNY,1
CRICKET,6
CAPPIE,1
UKIAH,1
ELLIOTT,1
DARCIE,1
BEAUTI,1
TATER,2
SKAI,1
ROSS,1
FREIJA,1
KIVI,1
WILLOW KAYA,1
ARETE,1
GUCCI,4
SITKA,9
HANDSOME,1
TEEKA,3
RILEE,1
TUSKER,1
ARIE,1
TEX,1
LILY MAE,1
JAMESON,1
MIKAH,1
RANSOM,1
KLINK,1
JULIE,3
GUSSY,2
MISS LADY,1
MYA,5
LADYBUG,1
CLYDE,6
ZAHA,1
BRANDILYNN,1
VIENNA,2
ZIGGY,10
MCGEE,2
MILKA,1
FALCOR,1
PO,1
HERMAN,1
MAPLE,5
SUZIE,2
LILLY,22
PENNYWOLF,1
BEAR,47
PATSY CLINE,1
CHEWEE,1
RICKI,1
CHAMOIS,1
VIDA LOCA,1
KORA,1
SAUNTEE,1
CALLY,1
TRUCK,1
KAHN,3
HUGO,3
ABIGAIL,5
ASTA,1
CELLO,1
PUFF,1
JONNI,1
WRANGELL,4
GUSTAVO,1
ESMA,1
SAUL,1
JUNEBUG,1
SANDY GIRL,1
JACK FROST,1
BRAMI,1
TALLULAH,2
TEN TEN,1
HARLEY,38
YOGI,2
JEB,2
LEONIDAS,1
MISHAA,1
ROUSEY MAY,1
ZORO,1
REMUS,2
BEANSIDHE,1
KELSO,1
MAN E,1
TROY,5
RENJI,1
PHIL,1
KNOTTY,1
AMOS,2
CURLY,1
BODE,2
MATILDA,4
CLAIRE,2
SARGE,9
MISTER,4
GODIVA,1
WENDELL,1
SHUFTI,1
DEOGE,1
DOUGAL,1
APU,2
TORO,1
COUGAR,2
FLICKA,1
NEESA,1
TAMI,1
SILKIE,1
WALLEY,1
MOOJI,1
BELLA (RUBY),1
THE DUDE,1
REX,8
SIERRA,9
ULBRECHT,1
TINNIE,1
SPRING,2
HORNSBY,1
TEDDY BEAR,1
MAI'LOH,1
BLOSSOM,2
HOLLY,15
ALY,2
LANEY,3
RUGER MATHE,1
DANCER,1
BELLE,21
DAUBI,1
CALLIE ROSE,1
SETH,1
IRISH,1
SWIPER,1
TEDDY RUXPIN,1
FULTON,1
PORK CHOP,1
MARS,1
POOCHIE,1
MURPH,2
DINO,1
RODDY,1
KANYA,1
DUCT TAPE,1
PETEY,4
TULLY,1
PISTOL PETE,1
MIKI,2
LOOMIS,1
SPINNAKKER,1
JUDY,2
LASKA,1
CUERVO,1
FREDDIE,3
MEADOW,1
BRIOSCA,1
FINNIGAN,1
SIPSEY,2
GENNY,1
AY JAY,1
DITTO,1
CALLIE MAE,1
CHANCEY,1
DUTCHESS,6
CALLIE,12
BENTLEY,26
BROOKE,1
ELLE,1
ONYA,1
BUBBA GUMP,1
CHUB,1
ROCKEY,2
NAIA,1
CHUBBERS,1
MAKARORA,1
HOOVER,3
WOOBY,1
KOVU,2
ODO,1
QANTAS,1
CINNY,1
TINK,4
MURPHY,25
JAZMINE,3
ZORBA,2
KALA,1
WALDO,2
ARLIE,1
BRIN,1
BEAMER,2
GUI,1
POCA,1
REECES,1
NICOLETTE,1
SKYLAR,3
RUSSELL,2
DEMI,1
PESTO,1
CHACO,2
IIKE,1
TREVOR,1
CINCH,1
VADER,2
DARLA,2
HILDY,1
WHISKEY,2
KANYE,2
BIXBY,1
DAISY-BELLE,1
MALI SUMMER,1
EZIO,1
SPINK,1
AMICO,1
CIDLEY,1
KUZCO,1
WINSTON,19
SHAMROCK,1
STARBURST,1
MADDIE,14
JIMMY,3
RAMPAGE,1
DUDLEY,2
GUINEA,1
GEO,1
GRAYSON,1
ZOLA,1
SALCHA,1
GROMMET,1
PHEOBE,1
HOMESLICE,1
PUMPKIN,1
COALBY,1
LINCOLN,4
MOTLEY,1
CORBY,1
CHACHA,1
MIGGS,1
SPOCK,2
MAKENA,1
CANDY,2
SOAP,1
MAGGIE MOON,1
MIK,1
TEXAS,1
CHELIOS,1
SAVANNAH,2
CASEY,9
ROXIE,12
UNA,1
SABRINA,1
FRAYA,1
KOBY,1
JADA,2
SHERLOCK,1
REILLY,1
STUARTLITTLE,1
NATCHIQ,1
SHAHARA,1
ABBIE,5
NOVA,8
IOREK,1
MEL,1
CISCO KID,1
REMINGTON,7
KUSKA,1
CALI,11
MARLENA NOVA,1
IZZI,1
SPEEDY,2
OOSHKA,1
ZIGGS,1
SPRINGZ,1
JAY JAY,1
TOGIAK,1
SHAWN,1
CHOLO,1
KIEDIS,1
HITO,1
WILE E,1
JALCE,1
SLEEPY,1
LULA,1
COSTA,1
POLAR EXPRES,1
PUDDIN,2
MAGNUS,1
KLAUS,1
ZARA,1
ROLLO,1
CHOCO,1
MAXIMILLIAN,1
SOLDIER,2
BOB,4
FITZGERALD,1
KVICHAK,1
DIEZ,1
AJAXX,1
KIT,2
DASIA,1
LINK,3
LEROY JENKIN,1
CLEO,9
SCOOTER,14
BOU,1
DESILU,1
GIGI,7
LEILA,3
JUNI,1
NIKA MARIE,1
NUTMEG,3
PHEDRA,1
OMA,1
COOKIE BOY,1
BRANDEE,1
THUNDERBOLT,1
VIOLET,5
MITTIE,1
BRENNI,1
BIGGIE SMALL,1
LITTLE GUY,1
ARIEL,2
SANDY PALMER,1
JUSTINE,1
KLUANE,1
RUSSEL,1
FAUST,1
MAPRAW,1
TUTSI,1
YURI,1
SEDONA PIP,1
MYA DAVILA,1
ROMAC,1
BAYA,1
TEDDI BEAR,1
SUMITT,1
ATHENA,20
KANU,1
KEPLER,1
MISSY,25
GODDESS,1
MYAH,1
BILLY,2
LUEY,1
QUIANA,1
BUDDY,79
SONNE,1
GOOFY,3
STACHE,1
SPOT,3
KIERA REY,1
CORKY,2
AMBUSH,1
EVE,2
HUNEE,1
PATRIOT,1
POLAR,2
COAL,3
LAILA,2
KIRBY,2
BELLA,112
MOOGIE,1
MARIO,3
MR DEEDS,1
WIZARD,2
COAST,1
BERNIE,6
ADDIE MAE,1
LUCAS,3
JALIS,1
KATIE,19
PANCHO,1
AUSTIN,3
ACHILLES,3
LUX,1
OLIVER,21
SIBELIUS,1
JUAN,1
FIEKA,1
POKEY,1
OLIE,2
AMAK,1
STRAW,1
SKIPPY,5
HODIE,1
TEGAN,2
HANA,1
REMMY,1
SUGAR,19
PONGO,1
ASTRO,2
GATSBY,1
TIPPY,2
NIKO,5
REGAN,1
JASLYNN,1
ESSIE,1
DOUG,2
SAHARA,1
PABLO,2
SID,2
MOSSY,1
YUUKO,1
BUSTER SHARP,1
TIGGER,6
SHELL,1
LAKOTA,2
POCO,1
ZAMBI,1
SPUNK,1
KK,1
MAKENNA,1
FORREST,3
NYEA,1
ADELAIDE,1
SMIKE,1
WOODY,3
NELLIE,10
VENN,1
DAVINCHY,1
AXSEL,1
RASTA,3
KAYOS,1
RUBERT (RUBY,1
RAMONA,2
BOLT,6
KI,1
LOUIS,2
ESTREA,1
QUINN,4
FERRET,1
CARAH,1
MACKLIN,1
PICARD,1
FORCIA,1
COCOA,13
TENAKEE,1
ELE ELE,1
CHARLIE GIRL,1
RENO,4
CO CO,1
MR. BLUE,1
HAWLEY,1
MULDER,1
BEHR,1
JOSEPHINE,2
YAHTZEE,1
SHAKESPEARE,2
PIKA,2
RAIN,1
RHEE,1
LUIGI,2
MUSTI,1
KUNUK,1
ELIAS,2
WULA,1
TIMBRE,1
TINKER,1
LEGO,1
JULES,3
KADEE,1
CHARLI BEA,1
SUGARFOOT,1
MARCUS,2
BOOZER,1
CHAOS,3
ANNIE BELLE,1
ROANOKEE,1
MEKI,1
MALLA,1
JAGER,4
YANKLE,1
MAGIK CHARM,1
URSUS,1
WINNIE,6
HAVOC,1
HENNA,1
ULLER,1
NAILS TOO,1
KEEPER,1
KEELUT,1
SUMMIT,4
SUMMER,3
FARLEY,3
FRODO,3
LANDON,1
JAINA,1
HEALY,2
MALIBU,1
ANCHOR,1
GEORGIE GIRL,1
KELLER,1
PIPPEN,2
ZYLA DIXIE,1
BOZER,2
PIGGY,1
NALA,19
POTTER,1
BRANDO,1
RHETT,1
HIGGS,1
ROLAND,1
CORKIE,1
ALEX BARRY,1
SWEETNESS,1
BEOWULF,2
BOOTSIE,2
OTIS,14
LEMIEUX,1
GNASH,1
CHARGER,1
SAMMIE,5
LUKI,1
KAKSI,1
MIAMI,1
CHLOE,39
ANGIE,1
BREEZE,2
MARLI,1
C'AMAI,1
TURKISH,1
CHAZZ,1
MALI,3
MIZ SCARLETT,1
CHISHY,1
DOJA,2
WOOF,1
TEA,1
SHERLOCK B,1
NUGGETS,1
ORKA,1
BARA,1
DEOGI,1
LENA,6
RHINO,1
BRODIE,7
SQUALL,1
TEDDY,16
ENEW,1
ALBUS,1
TOKYO,1
KOKOA,2
JJ,3
ARTHUR,2
SAYDEE,1
BROSEPH,1
TAKA,1
DOC,8
GLACIER,1
TOBEY,2
PUK PUY,1
KHOLE,1
BISHOP,1
DAISY DOO,1
BOSTON,2
YONA,2
NUMBER 2,1
DEBO,2
TUNDRA,6
HEDGE,1
PENNIE,1
DAVINCI,1
ROKI,1
MR BEAR,1
YOLI,1
MAXX,2
BRENNER,1
SHREDDER,2
CALEB,1
PISTEN,1
STORMY,10
HARMONY,2
ATREYU,2
ZOYA,1
KETA,3
ARIYANA,1
JUICE,2
KINGA,1
WINCHESTER,2
KYOKO,1
SPOOKY,1
KASSEL,1
DA VINCI,1
TIMBA,1
BLACKJACK,2
SMOKIE,2
HANNAH,7
PUYUQ,1
JEZZY,1
WILMA,1
ALVIN,1
SKA-DOO,1
LUCA,2
BELLE VOM CI,1
TATE,1
E.Z. RYDER,1
BABY,12
BONNIE BLUE,1
MR BOJANGLES,1
HARLEE,1
HAILEY,3
ALPINE,1
ROZSA,1
SEXY,1
MISTY ROSE,1
HUNDLEY,1
CLECO,1
RAMSEY,2
TEINE,1
SISTER,1
BRISTOL,6
RENAE,1
IDA,1
MURRAY,3
BILLIETHEKID,1
ISHTA,1
ABE,1
DOZER,15
MUESLI,1
SAILOR,2
BARBOS,1
FLEX,1
OUTLAW,1
LANI,2
SAKARI ESKA,1
BOUNCER,1
CHEWIE BEE,1
TRON,2
NAYLA,1
PALMER,2
PATTI,1
JOHNA,1
PEAT,1
SPARKER,1
LUCILLE,1
WILLA,4
LYLA,4
KASHI,2
TAITTI,1
BRUTUS,11
KILO,3
TRIXIE,5
SIENNA,1
LAYLO,1
TRISCUIT,1
DIGGER,5
CINDY,3
FRANCOIS,1
WRIGLEY,11
LUCI,1
SNOWBALL,4
CHUCHI,1
KACI-JADE,1
ROXY NATASHA,1
CARLY,1
STEVE,4
KHAUZI-MOTTO,1
GINA,1
JAKE,35
AJAX,5
SHOCKABRA,1
SIKU,1
MARCELINE,1
SKIMO,1
KOTA,3
TRUE,1
PAPI,5
PUZON,1
MARY ANN,1
SABRE,1
PEPE LE PEAU,1
KEENEYE,2
AUGUST,1
GRIZZLY,8
BURBERRY,1
CHINOOK,7
RONDO,1
LIZZIE,5
PEA,1
GREYCE,1
JUDGE,2
SQUIRM,1
OLAF,8
SKIPPER,4
KENDALL,1
LUNA BEAN,1
KINEO,1
GUS,25
CIRRUS,1
IVAN,4
BRIX,2
ROCCA,1
JET,2
ONE,1
CASSIE,6
NAAZ,1
BAMBOO,1
CODY,25
CORDUROY,1
GRACIE,29
DANGEL,1
GUY,1
JEDI,3
DELILAH,7
LIONEL,1
JINTO,1
KHAN,1
TESSA,4
BEAUX,3
TARI,1
QUESSI,1
AMIGO,1
BRIDGET,1
FERN,2
REV,1
TESS,4
HARLOW,3
BANJO,7
ITSA,1
DJANGO,3
SNORT,1
EARNIE,1
RODEO,1
CHUNKY JOE,1
DOOLEY,2
RENLEY,1
CREASY BEAR,1
ARMANI,2
JAEGER,2
TIMO,1
WILLOW,45
GADGET,1
QUEENIE,3
HOPPS,1
PAGE,1
PANDORA,1
ROCKY,49
BRUSCHI,1
MARTY,2
AZULZ,1
TOBIE,1
SPARTICA,1
SIR JAKE,1
CHUBBS,2
BRONIUS,1
RECCO,1
ANNA,6
SHIPPO,1
CHIQUITA,2
MCKINZEE,1
LOKI,37
ONYX,10
BUDA,1
NOAH,2
EMMA,22
TIPPER,1
NECA,1
TEETE,1
PLATO,1
KAISIE,1
PHINNEAS,1
MOKI,4
SIS,1
LULU BELLE,1
MOOSE,17
KAPPA,1
MEHO,1
THAEOBEO,1
SWEENEY,1
SEDONA,3
TRINKET,1
SINATRA,1
ZILI,1
LILO,1
FERGUS,2
BIRCH,1
SKADI,1
USCHI,1
GILLIGAN,1
GHIRIE,1
OH,1
DINAH,1
MILES,3
KELLY,3
PRISSY,2
JAMISON,1
COACOA,1
RAYNIE MAE,1
JENI,1
LUCKY,34
JARVIS,1
WESSON,1
NUSHKA,1
TUGGER,1
GENO,1
GORGY,1
MINNIE MAE,1
ROSCO P COLT,1
SONJA,1
TUHKA,1
PAZZO,1
TURK,1
MONGO,2
GRIZABELLA,1
BODIE,2
ISKUT,1
AURORA,16
EDDIE,7
XENIA,1
MAELEE,1
GOLIATH,3
LEXUS,3
VIDA,1
CINDER,4
LUBY,1
KAIKEA,1
ZEN,1
SAPHIRE,1
BUSY,1
COUVERDEN,1
RUCA,1
KISKA,24
MERICA,1
ARROW,3
SAKO,1
BUGS,1
BJORN,2
ALLEY,1
TASMAN,1
KETO,1
TUNDRA JADE,1
STELLA BLUE,1
GKEORGIE,1
DEWEY,2
PJAY,1
DOZIER,1
OSCAR,23
BIJOU,1
HAMLET,1
NIEKKO,1
ESME,1
KALISTA,1
KC,3
VENNY,1
BOO ENZO,1
GALENA,2
SNICKERDOODL,1
TIA,6
SASKIA,1
CHIBI,2
KRATOS,1
OONA,1
CASIE,1
SUKA,4
KYMBER,1
CIDER,1
KASPER,1
ALIY,1
GRUMMAN,1
KOJI,1
CHILE,1
COLIN,1
ANIA,1
EZEKIEL,1
ADDIE,1
BETTLES,1
BAILY,1
REXI,1
KALEY,1
APHRODITE,1
MING MING,1
BIGGS,2
DAISEY,5
BAILEE,1
KAISER,6
ESTRELLA,1
COOTA,1
KENJI,2
RILEY TWO,1
DRAKE,6
CASSIE SUE,1
CEZAR,1
LITTLE BEAR,3
NICU,1
SUKIE,1
NATHLIE,1
THORE,1
OLLY,2
ZORRA,1
GIBBS,1
LILLY LOU,1
POE,1
CHAMP,8
PRINCESS,19
